Name,Value,Byte Offset,Type
cb0_v141,"0.00, 0.00, 0.00, 1.00",2256,float4
cb0_v142,"10.00, 179.48407, 75.27689, 76.88235",2272,float4
cb0_v143,"0.01778, 0.00, 1.00, 4.16354E-41",2288,float4
cb0_v144,"5.60239E-42, 8.40779E-45, 5.60239E-42, 0.00",2304,float4
cb0_v145,"0.00, 0.00, 0.00, 0.00",2320,float4
cb0_v146,"4.08229, 3.85291, 3.85291, 4.77465",2336,float4
cb0_v147,"-0.43011, -0.47768, 0.76604, 0.00",2352,float4
cb0_v148,"-7130.229, -385.41772, -1862.85266, 0.01563",2368,float4
cb0_v149,"-8555.22168, -5347.01367, -7485.81885, 0.01563",2384,float4
cb0_v150,"0.00024, 0.00024, 0.00024, 64.2363",2400,float4
cb0_v151,"0.00007, 0.00007, 0.00007, 213.88054",2416,float4
cb0_v152,"0.00, 1.00, 0.00, 0.00",2432,float4
cb0_v153,"0.00, 1.00, 0.00, 0.00",2448,float4
cb0_v154,"0.00, 36.00, 3499.99951, 0.00",2464,float4
cb0_v155,"50.00, 1500.00, 500.00, 2000.00",2480,float4
cb0_v156,"0.00, 1.00, 1.00, 0.00",2496,float4
cb0_v157,"1.00, 1.00, 1.00, 0.00",2512,float4
cb0_v158,"0.00, 0.00, 0.00, 0.00",2528,float4
cb0_v159,"0.00, 0.00, 0.00, 3.40282E+38",2544,float4
cb0_v160,"0.00, 1.00, 0.00, 0.00",2560,float4
cb0_v161,"-0.43011, -0.47768, 0.76604, 1.00",2576,float4
cb0_v162,"0.00, 0.00, 1.00, 1.00",2592,float4
cb0_v163,"12.82489, 12.10428, 12.10428, 1.00",2608,float4
cb0_v164,"0.00, 0.00, 0.00, 0.00",2624,float4
cb0_v165,"12.82489, 12.10428, 12.10428, 0.00",2640,float4
cb0_v166,"0.00, 0.00, 0.00, 0.00",2656,float4
cb0_v167,"0.00, 0.00, 0.00, 1.00",2672,float4
cb0_v168,"0.00, 0.00, 0.00, 1.00",2688,float4
cb0_v169,"1.00, 0.00, 0.00, 1.00",2704,float4
cb0_v170,"1.00, 0.00, 0.00, 1.00",2720,float4
cb0_v171,"1.00, 1.00, 1.00, 1.00",2736,float4
cb0_v172,"-6404.14453, 1693.61096, 597.15002, 0.00",2752,float4
cb0_v173,"0.00, 0.00, 0.00, 0.00",2768,float4
cb0_v174,"1.00, 0.00, 0.00, 0.00",2784,float4
cb0_v175,"0.00, 1.00, 0.00, 0.00",2800,float4
cb0_v176,"0.00, 0.00, 1.00, 0.00",2816,float4
cb0_v177,"0.00, 0.00, 0.00, 1.00",2832,float4
cb0_v178,"1.00, 1.00, 1.00, 1.00",2848,float4
cb0_v179,"0.00, 0.00, 1.00, 1.00",2864,float4
cb0_v180,"1.00, 1.00, 1.00, 1.00",2880,float4
cb0_v181,"1.00, 1.00, 1.00, 1.00",2896,float4
cb0_v182,"1.00, 0.00, 0.00, 0.00",2912,float4
cb0_v183,"1.00, 0.00, 0.333, 0.00",2928,float4
cb0_v184,"0.00, 1.00, 0.00, 0.00",2944,float4
cb0_v185,"1.00, 1.00, 1.00, 1.00",2960,float4
cb0_v186,"0.00, 0.00, 1.00, 1.00",2976,float4
cb0_v187,"1.20, 1.20, 1.20, 1.20",2992,float4
cb0_v188,"0.00, 0.00, 0.00, 0.00",3008,float4
cb0_v189,"0.00, 0.00, 0.00, 0.00",3024,float4
cb0_v190,"0.00, 0.00, 0.00, 0.00",3040,float4
cb0_v191,"0.00, 0.00, 0.00, 0.00",3056,float4
cb0_v192,"0.00, 0.00, 0.00, 0.00",3072,float4
cb0_v193,"0.00, 0.00, 0.00, 0.00",3088,float4
cb0_v194,"0.00, 0.00, 0.00, 0.00",3104,float4
cb0_v195,"0.00, 1.00, 9.00, 1.00",3120,float4
cb0_v196,"1.40130E-45, 0.80, 0.00, 0.00",3136,float4
cb0_v197,"5.00, -0.50, 10000.00, 0.00",3152,float4
cb0_v198,"0.00, 0.00, 0.00, 1.00",3168,float4
cb0_v199,"0.00, 0.00, 0.00, 1.00",3184,float4
cb0_v200,"0.00, 0.00, 0.00, 1.00",3200,float4
cb0_v201,"0.00, 0.00, 0.00, 1.00",3216,float4
cb0_v202,"0.00, 0.00, 0.00, 1.00",3232,float4
cb0_v203,"0.00, 0.00, 0.00, 1.00",3248,float4
cb0_v204,"0.00, 0.00, 0.00, 1.00",3264,float4
cb0_v205,"0.00, 0.00, 0.00, 1.00",3280,float4
cb0_v206,"0.00, 0.00, 0.00, 0.00",3296,float4
cb0_v207,"0.00, 0.00, 0.00, 0.00",3312,float4
cb0_v208,"0.00, 0.00, 0.00, 0.00",3328,float4
cb0_v209,"0.00, 0.00, 0.00, 0.00",3344,float4
cb0_v210,"0.00, 0.00, 0.00, 0.00",3360,float4
cb0_v211,"3.40000E+38, 3.40000E+38, 3.40000E+38, 0.00",3376,float4
cb0_v212,"0.00, 0.00, 0.00, 0.00",3392,float4
cb0_v213,"0.00, 0.00, 0.00, 0.00",3408,float4
cb0_v214,"3.40000E+38, 3.40000E+38, 3.40000E+38, 0.00",3424,float4
cb0_v215,"1.00, 0.00101, 0.00, 0.00",3440,float4
cb0_v216,"0.00, 0.00, 0.00, 0.00",3456,float4
cb0_v217,"0.00, 0.00, 0.00, 0.00",3472,float4
cb0_v218,"0.00, 0.00, 0.00, 0.00",3488,float4
cb0_v219,"0.00, 0.00, 0.00, 0.00",3504,float4
cb0_v220,"0.00, 0.00, 0.00, 1.00",3520,float4
cb0_v221,"1.00, 0.00, 1.00, 1.00",3536,float4
cb0_v222,"1.12104E-43, 1.52742E-43, 2.42425E-43, 0.00",3552,float4
cb0_v223,"0.00, 0.00, 0.00, 0.00",3568,float4
cb0_v224,"0.00, 0.00, 0.00, 0.00",3584,float4
cb0_v225,"0.00, 0.00, 0.00, 0.00",3600,float4
cb0_v226,"0.00, 0.02, 0.00, 0.00",3616,float4
